"date" "maxO3" "T9" "T12" "T15" "Ne9" "Ne12" "Ne15" "Vx9" "Vx12" "Vx15" "vent" "Occ_pluie"
"1" 20010601 87 15.6 18.5 18.4 4 4 8 0.6946 -1.7101 -0.6946 "Nord" 0
"2" 20010602 82 17 18.4 17.7 5 5 7 -4.3301 -4 -3 "Nord" 0
"3" 20010603 92 15.3 17.6 19.5 2 5 4 2.9544 1.8794 0.5209 "Est" 0
"4" 20010604 114 16.2 19.7 22.5 1 1 0 0.9848 0.3473 -0.1736 "Nord" 0
"5" 20010605 94 17.4 20.5 20.4 8 8 7 -0.5 -2.9544 -4.3301 "Ouest" 0
"6" 20010606 80 17.7 19.8 18.3 6 6 7 -5.6382 -5 -6 "Ouest" 1
"7" 20010607 79 16.8 15.6 14.9 7 8 8 -4.3301 -1.8794 -3.7588 "Ouest" 0
"8" 20010608 NA NA NA NA NA NA NA NA NA NA NA NA
"9" 20010609 NA NA NA NA NA NA NA NA NA NA NA NA
"10" 20010610 79 14.9 17.5 18.9 5 5 4 0 -1.0419 -1.3892 "Nord" 0
"11" 20010611 101 16.1 19.6 21.4 2 4 4 -0.766 -1.0261 -2.2981 "Nord" 0
"12" 20010612 106 18.3 21.9 22.9 5 6 8 1.2856 -2.2981 -3.9392 "Ouest" 0
"13" 20010613 101 17.3 19.3 20.2 7 7 3 -1.5 -1.5 -0.8682 "Nord" 0
"14" 20010614 90 17.6 20.3 17.4 7 6 8 0.6946 -1.0419 -0.6946 "Sud" 0
"15" 20010615 72 18.3 19.6 19.4 7 5 6 -0.8682 -2.7362 -6.8944 "Sud" 0
"16" 20010616 70 17.1 18.2 18 7 7 7 -4.3301 -7.8785 -5.1962 "Ouest" 1
"17" 20010617 83 15.4 17.4 16.6 8 7 7 -4.3301 -2.0521 -3 "Nord" 0
"18" 20010618 88 15.9 19.1 21.5 6 5 4 0.5209 -2.9544 -1.0261 "Ouest" 0
"19" 20010619 NA NA NA NA NA NA NA NA NA NA NA NA
"20" 20010620 145 21 24.6 26.9 0 1 1 -0.342 -1.5321 -0.684 "Ouest" 0
"21" 20010621 81 16.2 22.4 23.4 8 3 1 0 0.3473 -2.5712 "Nord" 0
"22" 20010622 121 19.7 24.2 26.9 2 1 0 1.5321 1.7321 2 "Est" 0
"23" 20010623 146 23.6 28.6 28.4 1 1 2 1 -1.9284 -1.2155 "Sud" 0
"24" 20010624 121 20.4 25.2 27.7 1 0 0 0 -0.5209 1.0261 "Nord" 0
"25" 20010625 146 27 32.7 33.7 0 0 0 2.9544 6.5778 4.3301 "Est" 0
"26" 20010626 108 24 23.5 25.1 4 4 0 -2.5712 -3.8567 -4.6985 "Sud" 0
"27" 20010627 83 19.7 22.9 24.8 7 6 6 -2.5981 -3.9392 -4.924 "Ouest" 0
"28" 20010628 57 20.1 22.4 22.8 7 6 7 -5.6382 -3.8302 -4.5963 "Ouest" 1
"29" 20010629 81 19.6 25.1 27.2 3 4 4 -1.9284 -2.5712 -4.3301 "Sud" 0
"30" 20010630 67 19.5 23.4 23.7 5 5 4 -1.5321 -3.0642 -0.8682 "Ouest" 0
"31" 20010701 70 18.8 22.7 24.9 5 2 1 0.684 0 1.3681 "Nord" 0
"32" 20010702 106 24.1 28.4 30.1 0 0 1 2.8191 3.9392 3.4641 "Est" 0
"33" 20010703 139 26.6 30.1 31.9 0 1 4 1.8794 2 1.3681 "Sud" 0
"34" 20010704 79 19.5 18.8 17.8 8 8 8 0.6946 -0.866 -1.0261 "Ouest" 0
"35" 20010705 93 16.8 18.2 22 8 8 6 0 0 1.2856 "Sud" 1
"36" 20010706 97 20.8 23.7 25 2 3 4 0 1.7101 -2.7362 "Nord" 0
"37" 20010707 113 17.5 18.2 22.7 8 8 5 -3.7588 -3.9392 -4.6985 "Ouest" 1
"38" 20010708 72 18.1 21.2 23.9 7 6 4 -2.5981 -3.9392 -3.7588 "Ouest" 1
"39" 20010709 88 19.2 22 25.2 4 7 4 -1.9696 -3.0642 -4 "Ouest" 0
"40" 20010710 77 19.4 20.7 22.5 7 8 7 -6.5778 -5.6382 -9 "Ouest" 0
"41" 20010711 71 19.2 21 22.4 6 4 6 -7.8785 -6.8937 -6.8937 "Ouest" 0
"42" 20010712 56 13.8 17.3 18.5 8 8 6 1.5 -3.8302 -2.0521 "Ouest" 1
"43" 20010713 45 14.3 14.5 15.2 8 8 8 0.684 4 2.9544 "Est" 1
"44" 20010714 67 15.6 18.6 20.3 5 7 5 -3.2139 -3.7588 -4 "Ouest" 1
"45" 20010715 67 16.9 19.1 19.5 5 5 6 -2.2981 -3.7588 0 "Ouest" 1
"46" 20010716 84 17.4 20.4 21.4 3 4 6 0 0.3473 -2.5981 "Sud" 0
"47" 20010717 63 15.1 20.5 20.6 8 6 6 2 -5.3623 -6.1284 "Ouest" 1
"48" 20010718 69 15.1 15.6 15.9 8 8 8 -4.5963 -3.8302 -4.3301 "Ouest" 1
"49" 20010719 92 16.7 19.1 19.3 7 6 4 -2.0521 -4.4995 -2.7362 "Nord" 0
"50" 20010720 88 16.9 20.3 20.7 6 6 5 -2.8191 -3.4641 -3 "Ouest" 1
"51" 20010721 66 18 21.6 23.3 8 6 5 -3 -3.5 -3.2139 "Sud" 0
"52" 20010722 72 18.6 21.9 23.6 4 7 6 0.866 -1.9696 -1.0261 "Ouest" 0
"53" 20010723 81 18.8 22.5 23.9 6 3 2 0.5209 -1 -2 "Nord" 0
"54" 20010724 83 19 22.5 24.1 2 4 6 0 -1.0261 0.5209 "Nord" 0
"55" 20010725 149 19.9 26.9 29 3 4 3 1 -0.9397 -0.6428 "Ouest" 0
"56" 20010726 153 23.8 27.7 29.4 1 1 4 0.9397 1.5 0 "Nord" 0
"57" 20010727 159 24 28.3 26.5 2 2 7 -0.342 1.2856 -2 "Nord" 0
"58" 20010728 149 23.3 27.6 28.8 4 6 3 0.866 -1.5321 -0.1736 "Ouest" 0
"59" 20010729 160 25 29.6 31.1 0 3 5 1.5321 -0.684 2.8191 "Sud" 0
"60" 20010730 156 24.9 30.5 32.2 0 1 4 -0.5 -1.8794 -1.2856 "Ouest" 0
"61" 20010731 84 20.5 26.3 27.8 1 0 2 -1.3681 -0.6946 0 "Nord" 0
"62" 20010801 126 25.3 29.5 31.2 1 4 4 3 3.7588 5 "Est" 0
"63" 20010802 116 21.3 23.8 22.1 7 7 8 0 -2.3941 -1.3892 "Sud" 1
"64" 20010803 77 20 18.2 23.6 5 7 6 -3.4641 -2.5981 -3.7588 "Ouest" 1
"65" 20010804 63 18.7 20.6 20.3 6 7 7 -5 -4.924 -5.6382 "Ouest" 1
"66" 20010805 54 18.6 18.7 17.8 8 8 8 -4.6985 -2.5 -0.8682 "Sud" 1
"67" 20010806 65 19.2 23 22.7 8 7 7 -3.8302 -4.924 -5.6382 "Ouest" 0
"68" 20010807 72 19.9 21.6 20.4 7 7 8 -3 -4.5963 -5.1962 "Ouest" 1
"69" 20010808 60 18.7 21.4 21.7 7 7 7 -5.6382 -6.0622 -6.8937 "Ouest" 1
"70" 20010809 70 18.4 17.1 20.5 3 6 3 -5.9088 -3.2139 -4.4995 "Nord" 1
"71" 20010810 77 17.1 20 20.8 4 5 4 -1.9284 -1.0261 0.5209 "Nord" 0
"72" 20010811 98 17.8 22.8 24.3 1 1 0 0 -1.5321 -1 "Ouest" 1
"73" 20010812 111 20.9 25.2 26.7 1 5 2 -1.0261 -3 -2.2981 "Ouest" 0
"74" 20010813 75 18.8 20.5 26 8 7 1 -0.866 0 0 "Nord" 0
"75" 20010814 116 23.5 29.8 31.7 1 3 5 1.8794 1.3681 0.6946 "Sud" 0
"76" 20010815 109 20.8 23.7 26.6 8 5 4 -1.0261 -1.7101 -3.2139 "Sud" 0
"77" 20010816 NA NA NA NA NA NA NA NA NA NA NA NA
"78" 20010817 NA NA NA NA NA NA NA NA NA NA NA NA
"79" 20010818 NA NA NA NA NA NA NA NA NA NA NA NA
"80" 20010819 67 18.8 21.1 18.9 7 7 8 -5.3623 -5.3623 -2.5 "Ouest" 1
"81" 20010820 76 17.8 21.3 24 7 5 5 -3.0642 -2.2981 -3.9392 "Ouest" 1
"82" 20010821 113 20.6 24.8 27 1 1 2 1.3681 0.8682 -2.2981 "Sud" 0
"83" 20010822 117 21.6 26.9 28.6 6 6 4 1.5321 1.9284 1.9284 "Sud" 1
"84" 20010823 131 22.7 28.4 30.1 5 3 3 0.1736 -1.9696 -1.9284 "Ouest" 0
"85" 20010824 166 19.8 27.2 30.8 4 0 1 0.6428 -0.866 0.684 "Ouest" 0
"86" 20010825 159 25 33.5 35.5 1 1 1 1 0.6946 -1.7101 "Sud" 0
"87" 20010826 100 20.1 22.9 27.6 8 8 6 1.2856 -1.7321 -0.684 "Ouest" 0
"88" 20010827 114 21 26.3 26.4 7 4 5 3.0642 2.8191 1.3681 "Est" 0
"89" 20010828 112 21 24.4 26.8 1 6 3 4 4 3.7588 "Est" 0
"90" 20010829 101 16.9 17.8 20.6 7 7 7 -2 -0.5209 1.8794 "Nord" 1
"91" 20010830 76 17.5 18.6 18.7 7 7 7 -3.4641 -4 -1.7321 "Ouest" 0
"92" 20010831 59 16.5 20.3 20.3 5 7 6 -4.3301 -5.3623 -4.5 "Ouest" 1
"93" 20010901 78 17.7 20.2 21.5 5 5 3 0 0.5209 0 "Nord" 1
"94" 20010902 76 17.3 22.7 24.6 4 5 6 -2.9544 -2.9544 -2 "Ouest" 1
"95" 20010903 55 15.3 16.8 19.2 8 7 5 -1.8794 -1.8794 -2.3941 "Ouest" 1
"96" 20010904 71 15.9 19.2 19.5 7 5 3 -6.1284 0 -1.3892 "Nord" 1
"97" 20010905 66 16.2 18.9 19.3 2 5 6 -1.3681 -0.8682 1.7101 "Nord" 1
"98" 20010906 59 18.3 18.3 19 7 7 7 -3.9392 -1.9284 -1.7101 "Nord" 1
"99" 20010907 68 16.9 20.8 22.5 6 5 7 -1.5 -3.4641 -3.0642 "Ouest" 1
"100" 20010908 63 17.3 19.8 19.4 7 8 8 -4.5963 -6.0622 -4.3301 "Ouest" 0
"101" 20010909 NA NA NA NA NA NA NA NA NA NA NA NA
"102" 20010910 NA NA NA NA NA NA NA NA NA NA NA NA
